valeur, O(N), O(1)
22091, 0.000067, 0.000066
22291, 0.000069, 0.000068
22491, 0.000069, 0.000069
22691, 0.000070, 0.000069
22891, 0.000071, 0.000069
23091, 0.000071, 0.000069
23291, 0.000067, 0.000061
23491, 0.000054, 0.000054
23691, 0.000055, 0.000054
23891, 0.000055, 0.000055
24091, 0.000055, 0.000055
24291, 0.000056, 0.000055
24491, 0.000056, 0.000055
24691, 0.000060, 0.000072
24891, 0.000058, 0.000054
25091, 0.000056, 0.000059
25291, 0.000055, 0.000059
25491, 0.000056, 0.000060
25691, 0.000061, 0.000080
25891, 0.000057, 0.000061
26091, 0.000057, 0.000062
26291, 0.000058, 0.000062
26491, 0.000058, 0.000063
26691, 0.000059, 0.000063
26891, 0.000059, 0.000076
27091, 0.000059, 0.000063
27291, 0.000060, 0.000064
27491, 0.000060, 0.000064
27691, 0.000061, 0.000065
27891, 0.000072, 0.000068
28091, 0.000062, 0.000066
28291, 0.000063, 0.000061
28491, 0.000063, 0.000062
28691, 0.000063, 0.000066
28891, 0.000064, 0.000063
29091, 0.000064, 0.000069
29291, 0.000065, 0.000069
29491, 0.000066, 0.000070
29691, 0.000066, 0.000070
29891, 0.000105, 0.000071
30091, 0.000067, 0.000072
30291, 0.000067, 0.000072
30491, 0.000067, 0.000072
30691, 0.000068, 0.000073
30891, 0.000068, 0.000073
31091, 0.000069, 0.000073
31291, 0.000069, 0.000074
31491, 0.000069, 0.000074
31691, 0.000070, 0.000109
31891, 0.000070, 0.000075
32091, 0.000071, 0.000076
32291, 0.000071, 0.000076
32491, 0.000071, 0.000095
32691, 0.000072, 0.000078
32891, 0.000073, 0.000078
33091, 0.000073, 0.000079
33291, 0.000073, 0.000078
33491, 0.000074, 0.000080
33691, 0.000074, 0.000079
33891, 0.000074, 0.000080
34091, 0.000075, 0.000080
34291, 0.000075, 0.000081
34491, 0.000076, 0.000082
34691, 0.000076, 0.000082
34891, 0.000077, 0.000082
35091, 0.000077, 0.000083
35291, 0.000078, 0.000084
35491, 0.000078, 0.000084
35691, 0.000078, 0.000084
35891, 0.000079, 0.000084
36091, 0.000079, 0.000085
36291, 0.000080, 0.000086
36491, 0.000081, 0.000086
36691, 0.000081, 0.000087
36891, 0.000081, 0.000087
37091, 0.000103, 0.000087
37291, 0.000081, 0.000088
37491, 0.000081, 0.000087
37691, 0.000082, 0.000088
37891, 0.000082, 0.000081
38091, 0.000083, 0.000089
38291, 0.000099, 0.000089
38491, 0.000084, 0.000090
38691, 0.000172, 0.000191
38891, 0.000216, 0.000167
39091, 0.000170, 0.000182
39291, 0.000175, 0.000169
39491, 0.000166, 0.000487
39691, 0.000144, 0.000152
39891, 0.000150, 0.000159
40091, 0.000160, 0.000172
40291, 0.000142, 0.000255
40491, 0.000140, 0.000138
40691, 0.000140, 0.000151
40891, 0.000143, 0.000136
41091, 0.000139, 0.000477
41291, 0.000159, 0.000175
41491, 0.000121, 0.000162
41691, 0.000142, 0.000147
41891, 0.000129, 0.000190
42091, 0.000144, 0.000167
42291, 0.000110, 0.000111
42491, 0.000099, 0.000105
42691, 0.000104, 0.000106
42891, 0.000101, 0.000097
43091, 0.000099, 0.000098
43291, 0.000098, 0.000106
43491, 0.000100, 0.000098
43691, 0.000119, 0.000098
43891, 0.000100, 0.000108
44091, 0.000101, 0.000107
44291, 0.000101, 0.000100
44491, 0.000101, 0.000109
44691, 0.000102, 0.000110
44891, 0.000102, 0.000101
45091, 0.000103, 0.000111
45291, 0.000103, 0.000102
45491, 0.000104, 0.000103
45691, 0.000104, 0.000112
45891, 0.000105, 0.000113
46091, 0.000105, 0.000105
46291, 0.000106, 0.000114
46491, 0.000107, 0.000122
46691, 0.000229, 0.000106
46891, 0.000107, 0.000105
47091, 0.000138, 0.000107
47291, 0.000111, 0.000119
47491, 0.000167, 0.000123
47691, 0.000112, 0.000110
47891, 0.000112, 0.000393
48091, 0.000162, 0.000111
48291, 0.000141, 0.000111
48491, 0.000178, 0.000112
48691, 0.000139, 0.000174
48891, 0.000114, 0.000122
49091, 0.000188, 0.000113
49291, 0.000115, 0.000114
49491, 0.000115, 0.000124
49691, 0.000116, 0.000124
49891, 0.000116, 0.000115
50091, 0.000117, 0.000126
50291, 0.000117, 0.000142
50491, 0.000118, 0.000126
50691, 0.000118, 0.000126
50891, 0.000136, 0.000117
51091, 0.000116, 0.000124
51291, 0.000116, 0.000124
51491, 0.000116, 0.000148
51691, 0.000117, 0.000129
51891, 0.000135, 0.000117
52091, 0.000119, 0.000129
52291, 0.000120, 0.000118
52491, 0.000120, 0.000158
52691, 0.000117, 0.000125
52891, 0.000117, 0.000137
53091, 0.000118, 0.000126
53291, 0.000118, 0.000132
53491, 0.000160, 0.000116
53691, 0.000190, 0.000246
53891, 0.000210, 0.000213
54091, 0.000201, 0.000243
54291, 0.000202, 0.000217
54491, 0.000195, 0.000200
54691, 0.000187, 0.000185
54891, 0.000196, 0.000212
55091, 0.000181, 0.000193
55291, 0.000182, 0.000179
55491, 0.000158, 0.000170
55691, 0.000159, 0.000170
55891, 0.000159, 0.000183
56091, 0.000155, 0.000165
56291, 0.000155, 0.000167
56491, 0.000157, 0.000167
56691, 0.000148, 0.000136
56891, 0.000127, 0.000135
57091, 0.000128, 0.000137
57291, 0.000128, 0.000137
57491, 0.000129, 0.000138
57691, 0.000129, 0.000138
57891, 0.000130, 0.000138
58091, 0.000147, 0.000138
58291, 0.000130, 0.000128
58491, 0.000139, 0.000139
58691, 0.000131, 0.000140
58891, 0.000130, 0.000138
59091, 0.000131, 0.000141
59291, 0.000130, 0.000139
59491, 0.000131, 0.000154
59691, 0.000183, 0.000185
59891, 0.000165, 0.000172
